RELEVANT,CATEGORY,CATEGORICAL SENTIMENT,GENERAL SENTIMENT,JUSTIFICATION,ID
RELEVANT,"PTSD,JOBS","ANTI,NEUTRAL",ANTI,"The statement discusses how drones--even the ""unmanned"" drones--require maneuver by human beings and cause psychological wear to those involved in drone strikes.",15a32d0019d99afa553576e446886659
IRRELEVANT,,,,The statement mentions drones in a surveillance role.,a1448df29fffdb4f9e6042ff1270a2ac
RELEVANT,REFERENCE,PRO,NEUTRAL,"The statement refers to a drone strike in Yemen that successfully removed a target (pro categorical sentiment), but is more focused on how dangerous the target was to the U.S. security than on the drone strike itself (neutral general sentiment). ",313c49a818b53d5ccb9d5e0b7cf3255f
RELEVANT,REFERENCE,PRO,NEUTRAL,"The statement refers to a drone strike in Yemen, but is more focused on how dangerous the target was to the U.S. security than on the drone strike itself.",1501bcc75ca50542c0ebf6f62e67f6ab
RELEVANT,JOBS,PRO,PRO,The statement discusses how the federal budget spent for national defense including building drones can contribute to creating new jobs.,9689e1b200e250d4acdeab1268345baa
IRRELEVANT,,,,The statement refers to drones in a surveillance role. ,1dd308fd2968470292bdacbcd040bc5e
RELEVANT,REFERENCE,PRO,PRO,The statement mentions drone strikes can remove former detainees who return to terrorism and pose security threats. ,257bf697eacaacf5d820d6253a814e83
IRRELEVANT,,,,The statement talks about using drones for a domestic agricultural purpose.,1dca6f6fff237a98bedcc5bd6e3f6bba
RELEVANT,FOREIGNPOLICY,ANTI,ANTI,The statement discusses how drone strikes kill civilians and antagonize the local populations.,e9eae2d8d3799c67c117c77e0c6e9839
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses four different options presented to Obama regarding sending more U.S. troops to Afghanistan. Drones are mentioned in the third option where the United States can adopt drone strikes to complement the relatively small number of U.S. troops as part of counterterrorism strategies. ,7718e494aa237ef3be0ea1712c752cf4
IRRELEVANT,,,,The statement refers to how drones detected a plane with narcotics in it.,00e570c76f3b7adcb6985dc550bab872
RELEVANT,"HUMANITARIAN,FINANCE","ANTI,NEUTRAL",ANTI,"The statements discusses how drone strikes cause civilian deaths, and mentions the bill that funds drones.",9458ac71362e6f00bcc6fdcf96d45b42
RELEVANT,FOREIGNPOLICY,ANTI,ANTI,The statement discusses how military strategeis including drone strikes antagonize the Muslim people against the United States.,5e2b060bf80432d356163d8c3b9344de
RELEVANT,FOREIGNPOLICY,PRO,PRO,The statement discusses how effective and successful drones have been in  protecting the U.S. national security. ,a0616ba0b45dc7dc70731a85e58cdf27
RELEVANT,REFERENCE,NEUTRAL,NEUTRAL,The statement refers to the significance of balancing manned and unmanned drones. ,276239f4eeb725777410586e9b3a7d39
IRRELEVANT,,,,The statement relates to the domestic use of drones. ,3a71fd3931cc4b143f819b120c3cd4b8
IRRELEVANT,,,,The statement relates to the domestic use of drones.,f88c8755e71c36d2e32a6401f647ebcb
IRRELEVANT,,,,The statement talks about using drones to collect information (drones in a surveillance role).,1a6f38426c5f6c576dfb867baed5974f
IRRELEVANT,,,,The statement mentions drones in a surveillance role.,65fc74aa8b91e9566a1c3f6391bf4626
IRRELEVANT,,,,The statement refers to using drones domestically in the context of the right of privacy. ,10c0d95fc526722a52b223962dbd54f7
IRRELEVANT,,,,The statement refers to using drones domestically in the context of the right of privacy. ,c4b21930fb281864c71b67b0ffa5c000
IRRELEVANT,,,,The statement refers to using drones domestically in the context of the right of privacy. ,e2e7a0bf760e5c8756b6aa3d9aa69675
IRRELEVANT,,,,The statement refers to using drones domestically in the context of the right of privacy. ,d90a992684609968d37a72db44dc57bb
IRRELEVANT,,,,The statement refers to using drones domestically in the context of the right of privacy.,fdde5601179f6fbe5b22df42ebf44f0e
