last_name,congress,loyalty,sex,party_code,date,dim_2,id,dim_1,first_name,title,state,periphery,statement,party,unsigned_periphery
Frist,108,1,1,200,2004-05-10,-0.222,60b0d8b28a6e089405105679c8fdc0db,0.366,William,ABUSE OF IRAQI PRISONERS,TENNESSEE,-0.45984652208630056,"I wish to take this opportunity to comment on the substance of the resolution that will condemn the abuse of Iraqi prisoners at Abu Ghraib prison and the details of the resolution we will talk about later on the Senate floor. It all focuses on the fact that this Nation, our colleagues, this body is shocked, is disturbed, is saddened by the incidents that have occurred at the Abu Ghraib prison in Iraq. These acts are deplorable. There is absolutely no excuse for what happened to those Iraqi prisoners.",0,
Dreier,108,1,1,200,2004-05-11,-0.084,cb531eec565e38a455a54acb324dbf6b,0.478,David,WHAT AMERICA HAS ACCOMPLISHED,CALIFORNIA,0.23836729440898097,"Mr. Speaker, we all demonstrated our righteous indignation over what took place in the Abu Ghraib prison in Iraq, and we are horrified by it. But I would like to take just a few minutes to share the transcript of the Fox News Sunday program hosted by Chris Wallace, in which he talked about the positive accomplishments.",0,
,108,0,,,2003-02-25,,c971deeb619bc7ed77c7b5e4d7b51143,,,THE NEED FOR FURTHER UNITED NATIONS ACTION ON IRAQ,,,"In 1991, the invasion in March, attacks on civilians following a cease-fire in the cities of Basra, Najaf, Karbala; massive executions, bombarding residential areas, destroying religious shrines. And how about other actions before 2000, Mr. Speaker? Mass executions in a grave in Burjesiyya, a district near Zubair south of Basra, torturing and extended detentions preceding the deaths due to suspicion of political demonstrations. In April 14, 1999, 56 detainees charged with treason who were executed at Abu Ghraib on August 10 of 1999; 26 prisoners were executed at Abu Gharaib prison. March of 1999, the bombarding of residential areas of tribes by an armored division number 6 in Basra, Al-Ghameigh, Bail Wafi and Bait Sayed Noor. January, February, 1999, destruction of 52 houses of political opponents with bulldozers in Basra, nine in Jamhuriyah, five in Al-Zubier, seven in Al-Karmah, 12 in Abo Al-Khaseib, and five in Al-Tanumah. July 20, 1999, demolished six houses in Thawra after the detention of their entire families.",,
Graham,113,0,1,200,2014-02-27,-0.161,0bc4d3607a6591a97cd97ca2fa6d3222,0.409,Lindsey,"COMPREHENSIVE VETERANS HEALTH AND BENEFITS AND MILITARY RETIREMENT PAY 
               RESTORATION ACT OF 2014--MOTION TO PROCEED",SOUTH CAROLINA,-0.19178228896757646,"The role of the Congress is to provide oversight. I will conclude with this thought. When the war in Iraq was going fully, when Abu Ghraib became a disaster, when Guantanamo Bay tactics became exposed and they were outside of our values, Senator McCain and I joined with Democrats to get to the bottom of it. After 9/11, the Bush administration originally did not want the 9/11 Commission to be formed.",0,
Inhofe,111,0,1,200,2009-06-10,0.039,43d124ccf32d2c7cb13f58c5a75ebd1b,0.552,James,LEGISLATIVE SESSION,OKLAHOMA,0.6996871374505067,"Abu Ghraib was a different situation. Yes, some of our troops were involved in that. Most people wouldn't call it torture. It is more humiliation than anything else. But nonetheless, they did that. But the interesting thing about Abu Ghraib is, prior to the time that the public was aware that was going on, the Army had already come in and started their discipline, and it stopped that type of thing from taking place. But even if it weren't, for people to think just because there was something in their minds that was torture that was going on in Abu Ghraib, to even suggest that was going on in Guantanamo Bay is totally fictitious.",0,
,108,0,,,2004-06-16,,0065b79077f7084fc12799de5cd19199,,,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2005--Continued,,,"This act will deal with what our previous act dealt with--those who were directly related to the Department of Defense, either contractors or civilian employees. But the abuses in Abu Ghraib involved private contractors who may not have in every instance been directly associated with the Department of Defense, and as such, perhaps those people--or some of them at least--might not be prosecutable under this statute. So it highlighted our need to clarify and expand the coverage of the act.",,
Byrd,109,0,1,100,2005-09-13,0.729,ae5c9f447f5aa1952d209fe76965a26d,-0.309,Robert,"MAKING APPROPRIATIONS FOR SCIENCE, THE DEPARTMENTS OF STATE, JUSTICE, 
        AND COMMERCE, AND RELATED AGENCIES FOR FISCAL YEAR 2006",WEST VIRGINIA,-0.19535687867591672,"Few would now argue that the war in Iraq has improved the world's view of the United States. Again, what a shame. What a terrible shame. What a terrible mistake. It was an unnecessary and ill-conceived conflict which distracted us from our proper course of bombing the terrorist training grounds of Afghanistan. I have never bought the absurd claim by some that we are fighting terrorists in Iraq so we will not have to fight them here at home. Who believes that? That claim is a nonsequitur at best and, at worst, a patent distortion of what has happened in Iraq. The war in Iraq created a hot bed of terrorism where none existed before, and it ensured Osama bin Laden an endless supply of recruits, now even more fanatic in their hatred after scandals at Abu Ghraib and the destruction of so many innocent lives in Iraq as a result of our unprovoked invasion.",1,
Reyes,108,0,1,100,2004-06-23,0.304,8253aceb38dbfb3165a190da3b1c1eb6,-0.321,Silvestre,House of Representatives,TEXAS,-0.10910403305039496,"The abuses of Iraqi detainees at Abu Ghraib were reprehensible; I think we can all agree on that. Colleagues on both sides of the aisle have agreed on that, particularly after reviewing the now-infamous photos behind closed doors that were made available to us on Capitol Hill.",1,
Hunter,108,1,1,200,2004-05-19,0.02,a4fa7ed723f0ef46ca22bd36513e57cf,0.47,Duncan,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2005,CALIFORNIA,0.18849487894503225,"I have dozens of such citations, Mr. Chairman, on the leadership desk, and I would hope that Members walk down. And if their heads are filled with all of the publicity about a few bad apples at Abu Ghraib Prison, I want them to pick up those citations and read about the good apples, the great Americans who fill out this 2.5-million-person force that wear the uniform of the United States, active, Guard and Reserve.",0,
Kyl,108,1,1,200,2004-05-14,-0.455,495686ec5910152b1ed4f0c778805b7b,0.548,Jon,PRISONER ABUSE IN IRAQ,ARIZONA,0.67475092971853234,"The abuse of Iraqi detainees at Abu Ghraib prison violated      all training standards for Army interrogators and has      commanders and students at Fort Huachuca angry and fearful of      potential repercussions. ``It's anathema. It's not what we      train. It's not our values,'' said Maj. Gen. James Marks,      commanding general of the U.S. Army Intelligence Center. ``I      can't fathom who would do that * * * I'm disgusted by it.      Those aren't interrogation techniques. That's a bunch of      rogue soldiers conducting evil acts.''",0,
