last_name,congress,house,days_until_term_ends,sex,days_since_strike,relevant,date,loyalty,state_code,dim_2,id,dim_1,office_attainment_type,first_name,strike_recently,icpsr,sentiment,dronebase,title,occupancy,restraining,state,votes,party,filibuster,extreme
STARK,111,1,160,1,2,1,7/27/10,1,71,-0.605,73372a668975dbcdaa7fc82782485f81,-0.631,1,Fortney,1,14053,0,2,PAKISTAN WAR POWERS RESOLUTION,0,,CALIFOR,805,1,0,1
Barrasso,113,,2129,1,26,1,3/6/13,0,,,259fc5991be4b4ff0e4cf9fa383809b3,,,John,0,,0,0,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,WYOMING,,0,0,
,113,,,,26,1,3/6/13,0,,,c1fd5cf3398966bdb6119ec7f2e7bbf1,,,,0,,0,,BRENNAN NOMINATION,,,,,,0,
ADERHOLT,114,1,690,1,11,0,2/13/15,0,41,0.688,148a48f55206b9b9f3f5066ed0d6f2f2,0.358,1,Robert,0,29701,,1,THE ``FORT PAYNE 7'' REAL WORLD DESIGN TEAM,0,,ALABAMA,1111,0,0,0
,111,,,,0,1,8/5/09,0,,,0196132131e9c9e28a9882ad9020183e,,,,1,,0,,SITUATION IN YEMEN,,,,,,0,
LEE,113,0,1399,1,26,1,3/6/13,0,67,-0.509,88422af6df5044061d8de341081603b0,0.861,1,Mike,0,41110,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,UTAH,533,0,0,1
AYOTTE,113,0,1351,0,2,1,4/23/13,0,4,-0.612,88de8f32b4e62768379ad0ebdc8281ce,0.351,1,Kelly,1,41106,1,1,MARKETPLACE FAIRNESS ACT OF 2013--MOTION TO PROCEED,0,0,NEW HAM,544,0,0,0
Barrasso,113,,2129,1,26,1,3/6/13,0,,,2de82c85ce4197a236f9d51528b57b24,,,John,0,,0,0,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,WYOMING,,0,0,
,115,,,,22,0,3/28/17,0,,,adbd2e23296eae2e9272af42c969721a,,,,0,,,,"PROTOCOL TO THE NORTH ATLANTIC TREATY OF 1949 ON THE ACCESSION OF 
  MONTENEGRO--Continued",,,,,,0,
GRAHAM,114,0,1495,1,0,1,11/30/16,0,48,-0.161,b0124aa2c9b3cfb3a975b02206151088,0.409,1,Lindsey,1,29566,1,0,AMENDING THE JUSTICE AGAINST SPONSORS OF TERRORISM BILL,0,0,SOUTH C,321,0,0,0
