relevant,restraining,CATEGORICAL_SENTIMENT_DISCLOSURE,k_relevant,CATEGORICAL_SENTIMENT_JOBS,house,sex,CATEGORY_FOREIGNPOLICY,days_since_strike,last_name,CATEGORICAL_SENTIMENT_REFERENCE,CATEGORICAL_SENTIMENT_FOREIGNUSE,seniority,CATEGORY_PTSD,dim_2,id,dim_1,first_name,CATEGORY_DISCLOSURE,k_sentiment,icpsr,title,CATEGORICAL_SENTIMENT_FOREIGNPOLICY,general_sentiment,CATEGORICAL_SENTIMENT_PTSD,state,106_seniority,CATEGORICAL_SENTIMENT_INTERNATIONAL-LEGALITY,statement,CATEGORICAL_SENTIMENT_FINANCE,party,CATEGORY_REFERENCE,filibuster,CATEGORY_INTERNATIONAL-LEGALITY,CATEGORICAL_SENTIMENT_DOMESTIC-LEGALITY,CATEGORY_HUMANITARIAN,congress,days_until_term_ends,loyalty,CATEGORY_JOBS,CATEGORY_DOMESTIC-LEGALITY,date,state_code,dronebase,categories,CATEGORY_FOREIGNUSE,CATEGORY_TECHNOLOGY,CATEGORY_FINANCE,periphery,CATEGORICAL_SENTIMENT_TECHNOLOGY,CATEGORICAL_SENTIMENT_HUMANITARIAN,k_restraining,strike_recently,votes,unsigned_periphery
0,0,,1,,,1,0,26,Barrasso,,,,0,,259fc5991be4b4ff0e4cf9fa383809b3,,John,0,-1,,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,WYOMING,,,"As people are following what the Senator from Kentucky is doing here, more and more people are asking and focusing on this specific question. The question I and many others have asked is not whether the administration has or intends to carry out drone strikes inside the United States, but whether they believe they have the authority to do so. The question is about whether it has the authority to do so. The question is not whether they have carried them out, not whether they intend to, but do they have the authority to do so. This is an important distinction that should not and, I would add, cannot be ignored.",,0,0,0,0,,0,113,2129,0,0,0,3/6/13,,0,{},0,0,0,,,,1,0,,
0,0,,1,,,,0,26,,,,,0,,c1fd5cf3398966bdb6119ec7f2e7bbf1,,,0,-1,,BRENNAN NOMINATION,,,,,,,"I would ask the Senator from Kentucky, through the President--we are here at this point in time in the juncture of the Senate with the issue of whether to confirm a particular individual to a particular office, an administrative appointment. I would ask the Senator if he doesn't believe the issue of the due process rights of American citizens is of such a magnitude that the real issue that ought to be before the Senate is not the confirmation of an individual, but we ought to resolve the issue of whether the Senate believes it is constitutional for the due process rights of an American citizen to be taken by a drone strike in the United States, and the opportunity now presents itself that it would be a reason not to grant cloture.",,,0,0,0,,0,113,,0,0,0,3/6/13,,,{},0,0,0,,,,1,0,,
0,0,,1,,0,1,0,26,LEE,,,2,0,-0.509,88422af6df5044061d8de341081603b0,0.861,Mike,0,-1,41110,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,UTAH,2,,"This is helpful. This is a helpful indication from a government official who has been nominated to head the Central Intelligence Agency, and who acknowledges if he is confirmed to this position, he would have no authority as Director of the CIA to order lethal drone strikes within the United States. So that is helpful.",,0,0,0,0,,0,113,1399,0,0,0,3/6/13,67,1,{},0,0,0,2.6260091847455245,,,1,0,533,2.6260091847455245
0,0,,1,,,1,0,26,Barrasso,,,,0,,2de82c85ce4197a236f9d51528b57b24,,John,0,-1,,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,,WYOMING,,,"So I come to the Senate floor tonight in support of my colleague and agree with what he is writing to John Brennan because the fundamental question is: Do you believe the President has the power to authorize lethal force, such as a drone strike, against a U.S. citizen on U.S. soil and without trial.",,0,0,0,0,,0,113,2129,0,0,0,3/6/13,,0,{},0,0,0,,,,1,0,,
1,0,,0,,1,1,0,10,POE,,,2,0,0.058,926f1889e47c54c4fe88a27d8431c8e9,0.592,Ted,0,,20528,EARMARK DECLARATION,,1,,TEXAS,2,,"Description of Request: The Advanced Fuel Cell Research Program (AFC) at Lamar University is currently operating fuel cell test beds on behalf of U.S. Army Space and Missile Defense Command (USASMDC) that simulates power requirements and characterizes alternative power and storage capabilities for a wide variety of USASMDC systems. Critical need continues to exist for an efficient and clean advanced renewable energy source to meet urgent U.S. Army space and missile defense battlefield requirements. AFC continues to develop, test and validate advanced fuel cell technologies necessary to enable lightweight, power efficient, environmentally clean, and cost-effective renewable energy technology and products for Army space and missile defense systems including: sensors, radars, weapons, and communications. The FY09 request will leverage fuel cell technology achievements funded through previous DoD Appropriations bills by transitioning prototype lightweight fuel cells into Army renewable power products. UAV (unmanned aerial vehicle) prototypes integrated with the AFC-developed fuel cells will be flight-tested and demonstrated under field conditions to validate reliable, long duration, and quality power for missile defense situational awareness missions. The AFC's advanced hydride fuel cell will validate the UAV's unique long loitering time and stealth capabilities for critical extended endurance surveillance missions. Amount Received: $3,000,000. These funds will be used to pay labor costs for 22 full time personnel, lab and test bed equipment and supplies, and facilities improvement.",,0,0,0,0,,0,110,98,1,0,0,9/27/08,49,2,{u'TECHNOLOGY': 1},0,1,0,0.94904921477024962,1,,,0,1316,0.94904921477024962
1,0,0,0,,0,1,0,457,CORZINE,,,2,0,-0.596,0086a017df078e64bff02d2fffe7a671,-0.446,Jon,1,,40104,INTELLIGENCE OPERATIONS,,0,,NEW JER,2,,"It seems to me it is absolutely essential we understand how the President of the United States can put those 16 words--which were in absolute conflict with the information that generally was available in the Intelligence Committee, if I read that properly--into the State of the Union Message of 2003 with regard to aluminum tubes and with regard to uranium and then later the whole discussion, particularly Secretary Powell's presentation to the U.N. of the use of aluminum tubes. This was also in very strong contradiction to much of the information that is now available. We could go on, with unmanned aerial vehicles and a whole series of other issues.",,1,0,0,0,,0,108,714,0,0,0,2/3/04,12,1,{u'DISCLOSURE': 0},0,0,0,0.7893631088821228,,,,0,509,0.7893631088821228
1,0,,0,,1,0,0,5,MCCOLLUM,0,,7,0,-0.154,5805f1331025f4967c4e135092e519b1,-0.425,Betty,0,0,20122,"THE McCOLLUM AMENDMENT TO THE FY14 DEFENSE APPROPRIATIONS BILL 
  PROHIBITING FUNDS FOR CIA LETHAL DRONE STRIKES",,0,,MINNESO,7,,"Mr. Speaker, yesterday in the House Appropriations Committee I offered an amendment to the fiscal year 2014 defense appropriations bill regarding lethal drone strikes. The amendment stated:",,1,1,0,0,,0,113,568,1,0,0,6/14/13,33,1,{u'REFERENCE': 0},0,0,0,0.63842062903745966,,,,1,992,0.63842062903745966
1,1,,0,,1,1,0,187,ROYCE,,-1,7,0,-0.335,46928aad2c483e1af782832cc6618b64,0.666,Edward,0,,29321,CONDEMNING THE RECENT ATTACKS AGAINST THE STATE OF ISRAEL,,-1,,CALIFOR,4,,"Hezbollah receives $100 million annually from Iran, including 13,000 rockets. These rockets, which have rained down on Israeli citizens, are hidden in homes of supporters and in small factories scattered across Lebanon. Hezbollah launches unmanned aerial vehicles.",,0,0,0,0,,1,109,168,1,0,0,7/19/06,71,2,"{u'HUMANITARIAN': -1, u'FOREIGNUSE': -1}",1,0,0,1.4103690578117754,,-1,,0,878,1.4103690578117754
1,1,,0,,,,0,2,,,,,0,,96e684bd6070036a4af3a99a92ba9890,,,0,,,PERPETUAL WAR IS EXPENSIVE,,-1,,,,,"Thousands of American servicemembers have been killed and tens of thousands wounded, with a sharp increase in service-connected suicides. Over 500,000 veterans are seeking medical treatment and disability benefits. Millions of citizens have been killed, wounded, and displaced in the countries on the receiving end of our bombs, drones, sanctions, and occupation. The region has suffered huge environmental damage as a consequence of our military occupation.",,,0,0,0,,1,112,,0,0,0,1/20/11,,,{u'HUMANITARIAN': -1},0,0,0,,,-1,,1,,
1,1,,0,,,,0,150,,,,,0,,697e9d28c309e1f148e9dc20aae69389,,,0,,,"DEPARTMENT OF DEFENSE APPROPRIATIONS ACT, 2006--Continued",,-1,,,,,"At the appropriate place insert the following: Sec. __. (a) Prohibition on Transfer of Authority On Tactical Unmanned Aerial Vehicles.--None of the funds appropriated by this Act may be used to transfer research and development, acquisition, or other program authority relating to current tactical unmanned aerial vehicles (TUAVs) from the Army. (b) Extended Range Multi-Purpose Unmanned Aerial Vehicles.--The Army shall retain responsibility for and operational control of the Extended Range Multi-Purpose (ERMP) Unmanned Aerial Vehicle (UAV) in order to support the Secretary of Defense in matters relating to the employment of unmanned aerial vehicles.",-1,,0,0,0,,0,109,,0,0,0,10/5/05,,,{u'FINANCE': -1},0,0,1,,,,,0,,
