id,date,title,first_name,last_name,party,sex,state,days_until_term_ends,statement
15a32d0019d99afa553576e446886659,2013-09-09,SYRIA,James,Inhofe,Republican,M,OKLAHOMA,481,"And maybe someday we will be able to fight whole wars      without using a single human, but today, in 2013, we can't      have a surgical strike without someone saying where to drop      the bombs or where to aim those missiles. And those planes      that drop the bombs? The destroyers that carry the missiles?      They have pilots, captains, and crews. All humans. Even the      ``unmanned'' drones have human pilots, and the psychological      wear and tear on them is staggering. Planes take off from      airfields in foreign lands and from aircraft carriers, both      of which are staffed by thousands of American somebodies,      just like those destroyer ships. At every turn in a military      operation you will find people. Intel analysts, linguists,      flight crews, and cooks. Even war plans . . . rely on      thousands of people who will be pulled to a new duty, which      causes reshuffling far and wide in the military community.      And this, most definitely, affects our military families."
a1448df29fffdb4f9e6042ff1270a2ac,2015-01-28,KEYSTONE XL PIPELINE ACT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"The Ukrainians are once again fighting right now as we speak for their territory. The Ukrainian Government took back the Donetsk airport in Eastern Ukraine. Then the rebels came back. And I say ``rebels'' with a wry smile. I mean this is the Russian Army. They came back and they took it again. Last week those Russian-backed rebels broke a shaky ceasefire agreement and they renewed the fighting with the Ukrainian Government military. This Senator feels that we have got to do more to help these people who are trying to protect their independence. If you recall, last year we passed the Ukraine Freedom Support Act which provides further sanctions and lethal aid such as antitank and anti-armor weapons, counterartillery radars, secure communications equipment, and tactical surveillance drones. All of that was needed."
313c49a818b53d5ccb9d5e0b7cf3255f,2016-01-08,REGULATORY GRIDLOCK,Louie,Gohmert,Republican,M,TEXAS,361,"Capitol Hill staffers were led in prayer by a man who, ultimately, the Obama administration--the President himself--considered to be so dangerous he had to take him out with a drone strike in Yemen. He was so dangerous to the United States that we couldn't even risk arresting him later. He had to take him out with a bomb strike."
1501bcc75ca50542c0ebf6f62e67f6ab,2016-01-08,REGULATORY GRIDLOCK,Louie,Gohmert,Republican,M,TEXAS,361,"How was he an American citizen? His parents, who raised him to hate America, came to America on student visas. They studied here and had Anwar al-Awlaki. They took him back to Yemen and taught him to hate America. He became so dangerous that even President Obama felt he had to order a strike on an American citizen, without his having had a trial, without due process. He felt he had to take him out with a drone because that American citizen--an American citizen only because his parents came here on visas--was too dangerous for them to do anything else. It is time we started protecting our homeland, and we need an administration that will do it."
9689e1b200e250d4acdeab1268345baa,2010-07-19,TOPICS OF THE DAY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"You save if you can point to creating a job, you can point to creating a job. You might be able to point to those jobs and say, listen, we invested this money in national defense and decided to build these tanks or these drones or these bulletproof vests or M-4s or whatever it might be, so because we've invested in this new equipment and hardware, this factory has lit up and hired people for the exclusive purpose of making tanks or drones or bulletproof vests or M-4s. So all those jobs you might point to and say these jobs are created by government spending."
1dd308fd2968470292bdacbcd040bc5e,2013-11-13,DEFENDING ISRAEL,Louie,Gohmert,Republican,M,TEXAS,416,The first report in Foreign Policy quotes anonymous      American officials saying that Israel has been given access      to air bases by Iran's northern neighbor Azerbaijan from      which Israel could launch air strikes or at least drones and      search and rescue aircraft.
7311cd19dbbfadfbfa2a9dda868b13df,2002-03-05,NATIONAL LABORATORIES PARTNERSHIP IMPROVEMENT ACT OF 2002--Continued,James,Inhofe,Republican,M,OKLAHOMA,304,"Iraq is the fastest growing contributor to our dependency. People do not understand that. They say: Wait a minute. Aren't we at war with Iraq? I guess by some definition you would have to say we are. They are shooting down our UAVs that are flying over some of the zones trying to protect us, as is required by U.N. resolution. Yet Iraq is the fastest growing source for United States oil imports. Shockingly, in the year 2000, $5 billion of American money went to Iraq to buy oil."
257bf697eacaacf5d820d6253a814e83,2013-11-19,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2014--Continued,Richard,Durbin,Democrat,M,ILLINOIS,410,"Detainees who pose a risk that cannot be mitigated will not be transferred. And if a former detainee does return to terrorism, he will likely meet the fate of Said al-Shihri, No. 2 official in Al Qaeda in the Arabian Peninsula, who was recently killed in a drone strike."
1dca6f6fff237a98bedcc5bd6e3f6bba,2017-05-03,CONGRATULATIONS TO GERING HIGH SCHOOL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"It is exciting to see young innovators from western Nebraska, especially my alma mater, recognized nationally for their ideas on how to advance agriculture. The students designed a drone-powered system to reduce herbicide quantity by allowing farmers to directly target specific areas rather than spraying entire fields. I applaud each of them for their hard work and the dedication they put into their winning project."
e9eae2d8d3799c67c117c77e0c6e9839,2009-11-18,FUTURE INVOLVEMENT IN AFGHANISTAN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"There was one individual--I don't know his name--but they believed he was in Pakistan, so he was part of the terrorist group, the people who were opposing the occupation. So they sent 15 cruise missiles, drones, over looking for him. It took the 15th one to kill him. But 14 landed, and there was an estimate made that about 1,000 civilians were killed in this manner. How many more terrorists have we developed under those circumstances?"
